room_id,image_url
3,http://tong.visitkorea.or.kr/cms/resource/85/1786785_image2_1.jpg
4,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg
8,http://tong.visitkorea.or.kr/cms/resource/42/2579442_image2_1.jpg
10,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg
11,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg
13,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg
14,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg
15,http://tong.visitkorea.or.kr/cms/resource/78/1399678_image2_1.jpg
16,http://tong.visitkorea.or.kr/cms/resource/83/2706983_image2_1.jpg
17,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG
18,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG
19,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG
20,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg
22,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG
23,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg
25,http://tong.visitkorea.or.kr/cms/resource/87/2557287_image2_1.jpg
26,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg
27,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg
28,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg
30,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg
31,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg
32,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG
34,http://tong.visitkorea.or.kr/cms/resource/13/2684313_image2_1.jpg
35,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg
36,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg
37,http://tong.visitkorea.or.kr/cms/resource/94/598094_image2_1.jpg
38,http://tong.visitkorea.or.kr/cms/resource/95/2529795_image2_1.jpg
39,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg
40,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg
41,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG
42,http://tong.visitkorea.or.kr/cms/resource/83/2763683_image2_1.jpg
43,http://tong.visitkorea.or.kr/cms/resource/14/1815114_image2_1.jpg
44,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg
45,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image2_1.jpg
46,http://tong.visitkorea.or.kr/cms/resource/09/2679609_image2_1.jpg
48,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG
49,http://tong.visitkorea.or.kr/cms/resource/81/2021681_image2_1.jpg
51,http://tong.visitkorea.or.kr/cms/resource/17/2813117_image2_1.jpeg
52,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg
53,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG
54,http://tong.visitkorea.or.kr/cms/resource/72/2604472_image2_1.jpg
55,http://tong.visitkorea.or.kr/cms/resource/52/2530152_image2_1.jpg
56,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg
57,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image2_1.jpg
58,http://tong.visitkorea.or.kr/cms/resource/38/2764638_image2_1.jpg
59,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg
60,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG
61,http://tong.visitkorea.or.kr/cms/resource/83/1843083_image2_1.jpg
62,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image2_1.jpg
63,http://tong.visitkorea.or.kr/cms/resource/20/207320_image2_1.jpg
64,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg
65,http://tong.visitkorea.or.kr/cms/resource/22/1832022_image2_1.JPG
67,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image2_1.jpg
69,http://tong.visitkorea.or.kr/cms/resource/69/2632869_image2_1.jpg
71,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image2_1.jpg
73,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image2_1.jpg
75,http://tong.visitkorea.or.kr/cms/resource/35/1981335_image2_1.jpg
76,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image2_1.jpg
77,http://tong.visitkorea.or.kr/cms/resource/13/1981413_image2_1.jpg
78,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg
80,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image2_1.jpg
82,http://tong.visitkorea.or.kr/cms/resource/99/1593599_image2_1.jpg
83,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG
84,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG
86,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG
90,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg
92,http://tong.visitkorea.or.kr/cms/resource/16/2568716_image2_1.jpg
93,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg
95,http://tong.visitkorea.or.kr/cms/resource/59/2049459_image2_1.jpg
96,http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg
97,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG
100,http://tong.visitkorea.or.kr/cms/resource/97/2363897_image2_1.jpg
102,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG
104,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg
105,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg
107,http://tong.visitkorea.or.kr/cms/resource/92/1991592_image2_1.jpg
110,http://tong.visitkorea.or.kr/cms/resource/70/2568470_image2_1.jpg
111,http://tong.visitkorea.or.kr/cms/resource/33/1885933_image2_1.jpg
113,http://tong.visitkorea.or.kr/cms/resource/11/2635611_image2_1.jpg
114,http://tong.visitkorea.or.kr/cms/resource/18/1337418_image2_1.jpg
115,http://tong.visitkorea.or.kr/cms/resource/00/2499400_image2_1.jpg
117,http://tong.visitkorea.or.kr/cms/resource/35/2706135_image2_1.jpg
119,http://tong.visitkorea.or.kr/cms/resource/27/2635527_image2_1.jpg
121,http://tong.visitkorea.or.kr/cms/resource/10/2530210_image2_1.jpg
123,http://tong.visitkorea.or.kr/cms/resource/91/1885891_image2_1.jpg
125,http://tong.visitkorea.or.kr/cms/resource/40/2691040_image2_1.jpg
